Shot,FrameId,Timestamp,VideoName
serve,97,0:00:03.200000,video3.mp4
rail,241,0:00:08.000,video3.mp4
rail,316,0:00:10.500000,video3.mp4
serve,533,0:00:17.733333,video3.mp4
serve,1021,0:00:34.000,video3.mp4
cross_court,1058,0:00:35.233333,video3.mp4
cross_court,1104,0:00:36.766667,video3.mp4
rail,1144,0:00:38.100000,video3.mp4
serve,1366,0:00:45.500000,video3.mp4
boast,1423,0:00:47.400000,video3.mp4
serve,1672,0:00:55.700000,video3.mp4
serve,1709,0:00:56.933333,video3.mp4
cross_court,1765,0:00:58.800000,video3.mp4
serve,1913,0:01:03.733333,video3.mp4
rail,1979,0:01:05.933333,video3.mp4
cross_court,2016,0:01:07.166667,video3.mp4
serve,2182,0:01:12.700000,video3.mp4
boast,2269,0:01:15.600000,video3.mp4
serve,2513,0:01:23.733333,video3.mp4
cross_court,2551,0:01:25.000,video3.mp4
rail,2620,0:01:27.300000,video3.mp4
cross_court,2661,0:01:28.666667,video3.mp4
boast,2703,0:01:30.066667,video3.mp4
boast,2745,0:01:31.466667,video3.mp4
serve,2956,0:01:38.500000,video3.mp4
cross_court,3009,0:01:40.266667,video3.mp4
boast,3045,0:01:41.466667,video3.mp4
rail,3071,0:01:42.333333,video3.mp4
boast,3121,0:01:44.000,video3.mp4
cross_court,3158,0:01:45.233333,video3.mp4
cross_court,3202,0:01:46.700000,video3.mp4
rail,3243,0:01:48.066667,video3.mp4
boast,3302,0:01:50.033333,video3.mp4
cross_court,3337,0:01:51.200000,video3.mp4
cross_court,3375,0:01:52.466667,video3.mp4
cross_court,3423,0:01:54.066667,video3.mp4
rail,3456,0:01:55.166667,video3.mp4
serve,4023,0:02:14.066667,video3.mp4
cross_court,4071,0:02:15.666667,video3.mp4
cross_court,4114,0:02:17.100000,video3.mp4
serve,4471,0:02:29.000,video3.mp4
rail,4535,0:02:31.133333,video3.mp4
rail,4577,0:02:32.533333,video3.mp4
boast,4611,0:02:33.666667,video3.mp4
cross_court,4651,0:02:35.000,video3.mp4
rail,4676,0:02:35.833333,video3.mp4
cross_court,4702,0:02:36.700000,video3.mp4
rail,4742,0:02:38.033333,video3.mp4
boast,4796,0:02:39.833333,video3.mp4
cross_court,4840,0:02:41.300000,video3.mp4
rail,4980,0:02:45.966667,video3.mp4
rail,5028,0:02:47.566667,video3.mp4
rail,5063,0:02:48.733333,video3.mp4
serve,5554,0:03:05.100000,video3.mp4
boast,5586,0:03:06.166667,video3.mp4
cross_court,5624,0:03:07.433333,video3.mp4
cross_court,5702,0:03:10.033333,video3.mp4
