Shot,FrameId,Timestamp,VideoName
cross_court,67,0:00:02.200000,video7.mp4
rail,124,0:00:04.100000,video7.mp4
cross_court,175,0:00:05.800000,video7.mp4
cross_court,210,0:00:06.966667,video7.mp4
boast,255,0:00:08.466667,video7.mp4
boast,316,0:00:10.500000,video7.mp4
boast,372,0:00:12.366667,video7.mp4
boast,414,0:00:13.766667,video7.mp4
cross_court,441,0:00:14.666667,video7.mp4
boast,479,0:00:15.933333,video7.mp4
cross_court,520,0:00:17.300000,video7.mp4
cross_court,573,0:00:19.066667,video7.mp4
cross_court,648,0:00:21.566667,video7.mp4
boast,729,0:00:24.266667,video7.mp4
serve,1333,0:00:44.400000,video7.mp4
cross_court,1381,0:00:46.000,video7.mp4
rail,1435,0:00:47.800000,video7.mp4
rail,1475,0:00:49.133333,video7.mp4
cross_court,1521,0:00:50.666667,video7.mp4
rail,1562,0:00:52.033333,video7.mp4
boast,1632,0:00:54.366667,video7.mp4
serve,1943,0:01:04.733333,video7.mp4
cross_court,2002,0:01:06.700000,video7.mp4
boast,2042,0:01:08.033333,video7.mp4
boast,2090,0:01:09.633333,video7.mp4
cross_court,2135,0:01:11.133333,video7.mp4
cross_court,2170,0:01:12.300000,video7.mp4
boast,2204,0:01:13.433333,video7.mp4
boast,2236,0:01:14.500000,video7.mp4
cross_court,2285,0:01:16.133333,video7.mp4
cross_court,2323,0:01:17.400000,video7.mp4
boast,2363,0:01:18.733333,video7.mp4
cross_court,2408,0:01:20.233333,video7.mp4
cross_court,2431,0:01:21.000,video7.mp4
serve,2923,0:01:37.400000,video7.mp4
boast,2959,0:01:38.600000,video7.mp4
rail,2993,0:01:39.733333,video7.mp4
rail,3033,0:01:41.066667,video7.mp4
serve,3517,0:01:57.200000,video7.mp4
cross_court,3555,0:01:58.466667,video7.mp4
boast,3595,0:01:59.800000,video7.mp4
serve,3790,0:02:06.300000,video7.mp4
cross_court,3826,0:02:07.500000,video7.mp4
boast,3867,0:02:08.866667,video7.mp4
serve,3959,0:02:11.933333,video7.mp4
boast,3996,0:02:13.166667,video7.mp4
boast,4049,0:02:14.933333,video7.mp4
boast,4092,0:02:16.366667,video7.mp4
boast,4127,0:02:17.533333,video7.mp4
cross_court,4190,0:02:19.633333,video7.mp4
boast,4222,0:02:20.700000,video7.mp4
cross_court,4260,0:02:21.966667,video7.mp4
serve,4663,0:02:35.400000,video7.mp4
cross_court,4695,0:02:36.466667,video7.mp4
boast,4725,0:02:37.466667,video7.mp4
serve,5002,0:02:46.700000,video7.mp4
boast,5026,0:02:47.500000,video7.mp4
cross_court,5065,0:02:48.800000,video7.mp4
rail,5107,0:02:50.200000,video7.mp4
boast,5139,0:02:51.266667,video7.mp4
cross_court,5187,0:02:52.866667,video7.mp4
boast,5243,0:02:54.733333,video7.mp4
cross_court,5284,0:02:56.100000,video7.mp4
boast,5333,0:02:57.733333,video7.mp4
rail,5365,0:02:58.800000,video7.mp4
cross_court,5407,0:03:00.200000,video7.mp4
serve,5737,0:03:11.200000,video7.mp4
rail,5817,0:03:13.866667,video7.mp4
cross_court,5850,0:03:14.966667,video7.mp4
boast,5877,0:03:15.866667,video7.mp4
rail,5939,0:03:17.933333,video7.mp4
cross_court,5986,0:03:19.500000,video7.mp4
boast,6051,0:03:21.666667,video7.mp4
serve,6320,0:03:30.633333,video7.mp4
boast,6388,0:03:32.900000,video7.mp4
boast,6456,0:03:35.166667,video7.mp4
boast,6502,0:03:36.700000,video7.mp4
cross_court,6534,0:03:37.766667,video7.mp4
cross_court,6583,0:03:39.400000,video7.mp4
boast,6615,0:03:40.466667,video7.mp4
cross_court,6666,0:03:42.166667,video7.mp4
cross_court,6691,0:03:43.000,video7.mp4
boast,6727,0:03:44.200000,video7.mp4
cross_court,6786,0:03:46.166667,video7.mp4
boast,6814,0:03:47.100000,video7.mp4
serve,7122,0:03:57.366667,video7.mp4
boast,7154,0:03:58.433333,video7.mp4
cross_court,7196,0:03:59.833333,video7.mp4
serve,7340,0:04:04.633333,video7.mp4
boast,7398,0:04:06.566667,video7.mp4
rail,7455,0:04:08.466667,video7.mp4
boast,7486,0:04:09.500000,video7.mp4
cross_court,7520,0:04:10.633333,video7.mp4
rail,7574,0:04:12.433333,video7.mp4
rail,7621,0:04:14.000,video7.mp4
boast,7653,0:04:15.066667,video7.mp4
cross_court,7689,0:04:16.266667,video7.mp4
rail,7725,0:04:17.466667,video7.mp4
cross_court,7773,0:04:19.066667,video7.mp4
cross_court,7807,0:04:20.200000,video7.mp4
boast,7847,0:04:21.533333,video7.mp4
cross_court,7875,0:04:22.466667,video7.mp4
serve,8158,0:04:31.900000,video7.mp4
boast,8192,0:04:33.033333,video7.mp4
cross_court,8235,0:04:34.466667,video7.mp4
cross_court,8267,0:04:35.533333,video7.mp4
rail,8318,0:04:37.233333,video7.mp4
boast,8383,0:04:39.400000,video7.mp4
boast,8414,0:04:40.433333,video7.mp4
boast,8451,0:04:41.666667,video7.mp4
boast,8501,0:04:43.333333,video7.mp4
cross_court,8541,0:04:44.666667,video7.mp4
cross_court,8568,0:04:45.566667,video7.mp4
boast,8612,0:04:47.033333,video7.mp4
cross_court,8831,0:04:54.333333,video7.mp4
cross_court,8911,0:04:57.000,video7.mp4
serve,9724,0:05:24.100000,video7.mp4
boast,9755,0:05:25.133333,video7.mp4
cross_court,9809,0:05:26.933333,video7.mp4
cross_court,9843,0:05:28.066667,video7.mp4
rail,9872,0:05:29.033333,video7.mp4
rail,9921,0:05:30.666667,video7.mp4
rail,9957,0:05:31.866667,video7.mp4
boast,10016,0:05:33.833333,video7.mp4
serve,10525,0:05:50.800000,video7.mp4
boast,10555,0:05:51.800000,video7.mp4
boast,10587,0:05:52.866667,video7.mp4
rail,10628,0:05:54.233333,video7.mp4
boast,10687,0:05:56.200000,video7.mp4
rail,10744,0:05:58.100000,video7.mp4
boast,10800,0:05:59.966667,video7.mp4
boast,10838,0:06:01.233333,video7.mp4
boast,10881,0:06:02.666667,video7.mp4
boast,10917,0:06:03.866667,video7.mp4
boast,10955,0:06:05.133333,video7.mp4
boast,10988,0:06:06.233333,video7.mp4
boast,11075,0:06:09.133333,video7.mp4
serve,11638,0:06:27.900000,video7.mp4
boast,11664,0:06:28.766667,video7.mp4
cross_court,11699,0:06:29.933333,video7.mp4
serve,11992,0:06:39.700000,video7.mp4
cross_court,12067,0:06:42.200000,video7.mp4
rail,12122,0:06:44.033333,video7.mp4
rail,12182,0:06:46.033333,video7.mp4
rail,12404,0:06:53.433333,video7.mp4
cross_court,12455,0:06:55.133333,video7.mp4
boast,12515,0:06:57.133333,video7.mp4
cross_court,12716,0:07:03.833333,video7.mp4
rail,12765,0:07:05.466667,video7.mp4
serve,13195,0:07:19.800000,video7.mp4
cross_court,13227,0:07:20.866667,video7.mp4
cross_court,13256,0:07:21.833333,video7.mp4
rail,13286,0:07:22.833333,video7.mp4
serve,13756,0:07:38.500000,video7.mp4
serve,14101,0:07:50.000,video7.mp4
boast,14216,0:07:53.833333,video7.mp4
cross_court,14268,0:07:55.566667,video7.mp4
rail,14318,0:07:57.233333,video7.mp4
rail,14384,0:07:59.433333,video7.mp4
boast,14547,0:08:04.866667,video7.mp4
cross_court,14597,0:08:06.533333,video7.mp4
cross_court,14634,0:08:07.766667,video7.mp4
