Shot,FrameId,Timestamp,VideoName
serve,5797,0:03:13.200000,video10.mp4
rail,5899,0:03:16.600000,video10.mp4
rail,5941,0:03:18.000,video10.mp4
rail,5982,0:03:19.366667,video10.mp4
boast,6028,0:03:20.900000,video10.mp4
cross_court,6087,0:03:22.866667,video10.mp4
cross_court,6133,0:03:24.400000,video10.mp4
boast,6178,0:03:25.900000,video10.mp4
boast,6219,0:03:27.266667,video10.mp4
boast,6289,0:03:29.600000,video10.mp4
boast,6346,0:03:31.500000,video10.mp4
boast,6394,0:03:33.100000,video10.mp4
rail,6442,0:03:34.700000,video10.mp4
boast,6489,0:03:36.266667,video10.mp4
boast,6524,0:03:37.433333,video10.mp4
cross_court,6581,0:03:39.333333,video10.mp4
serve,6651,0:03:41.666667,video10.mp4
boast,6699,0:03:43.266667,video10.mp4
boast,6754,0:03:45.100000,video10.mp4
boast,6795,0:03:46.466667,video10.mp4
serve,6877,0:03:49.200000,video10.mp4
boast,6930,0:03:50.966667,video10.mp4
boast,6967,0:03:52.200000,video10.mp4
serve,7088,0:03:56.233333,video10.mp4
boast,7140,0:03:57.966667,video10.mp4
serve,7353,0:04:05.066667,video10.mp4
serve,7404,0:04:06.766667,video10.mp4
boast,7635,0:04:14.466667,video10.mp4
cross_court,7731,0:04:17.666667,video10.mp4
serve,7787,0:04:19.533333,video10.mp4
serve,8368,0:04:38.900000,video10.mp4
cross_court,8418,0:04:40.566667,video10.mp4
rail,8462,0:04:42.033333,video10.mp4
rail,8511,0:04:43.666667,video10.mp4
rail,8544,0:04:44.766667,video10.mp4
cross_court,8599,0:04:46.600000,video10.mp4
cross_court,8637,0:04:47.866667,video10.mp4
serve,9193,0:05:06.400000,video10.mp4
cross_court,9257,0:05:08.533333,video10.mp4
rail,9295,0:05:09.800000,video10.mp4
serve,9792,0:05:26.366667,video10.mp4
boast,9827,0:05:27.533333,video10.mp4
cross_court,9892,0:05:29.700000,video10.mp4
boast,9940,0:05:31.300000,video10.mp4
cross_court,9980,0:05:32.633333,video10.mp4
serve,10144,0:05:38.100000,video10.mp4
boast,10233,0:05:41.066667,video10.mp4
boast,10274,0:05:42.433333,video10.mp4
rail,10317,0:05:43.866667,video10.mp4
serve,10458,0:05:48.566667,video10.mp4
boast,10508,0:05:50.233333,video10.mp4
boast,10575,0:05:52.466667,video10.mp4
boast,10629,0:05:54.266667,video10.mp4
serve,11631,0:06:27.666667,video10.mp4
cross_court,12167,0:06:45.533333,video10.mp4
cross_court,12217,0:06:47.200000,video10.mp4
rail,12330,0:06:50.966667,video10.mp4
serve,12632,0:07:01.033333,video10.mp4
boast,12679,0:07:02.600000,video10.mp4
cross_court,12773,0:07:05.733333,video10.mp4
cross_court,12949,0:07:11.600000,video10.mp4
cross_court,13296,0:07:23.166667,video10.mp4
rail,13414,0:07:27.100000,video10.mp4
boast,13844,0:07:41.433333,video10.mp4
boast,13983,0:07:46.066667,video10.mp4
cross_court,14273,0:07:55.733333,video10.mp4
rail,14363,0:07:58.733333,video10.mp4
